"variables","types","missing_count","missing_percent","unique_count","unique_rate"
"Age","integer",0,0,45,0.00629458665547629
"Gender","factor",0,0,2,0.000279759406910057
"Ethnicity","factor",5000,69.9398517275143,5,0.000699398517275143
"EducationLevel","factor",5000,69.9398517275143,5,0.000699398517275143
"BMI","numeric",0,0,2315,0.323821513498391
"Alcohol.Consumption.NUM","numeric",5000,69.9398517275143,2150,0.300741362428312
"Physical.Activity.NUM","numeric",5000,69.9398517275143,2150,0.300741362428312
"Diet.Quality.NUM","numeric",5000,69.9398517275143,2150,0.300741362428312
"Sleep.Quality.NUM","numeric",5000,69.9398517275143,2150,0.300741362428312
"FamilyHistoryAlzheimers","factor",0,0,2,0.000279759406910057
"CardiovascularDisease","factor",5000,69.9398517275143,3,0.000419639110365086
"Diabetes","factor",0,0,2,0.000279759406910057
"HeadInjury","factor",5000,69.9398517275143,3,0.000419639110365086
"Hypertension","factor",0,0,2,0.000279759406910057
"SystolicBP","integer",5000,69.9398517275143,91,0.0127290530144076
"DiastolicBP","integer",5000,69.9398517275143,61,0.00853266191075675
"CholesterolTotal","numeric",5000,69.9398517275143,2150,0.300741362428312
"CholesterolLDL","numeric",5000,69.9398517275143,2150,0.300741362428312
"CholesterolHDL","numeric",5000,69.9398517275143,2150,0.300741362428312
"CholesterolTriglycerides","numeric",5000,69.9398517275143,2150,0.300741362428312
"MMSE","numeric",5000,69.9398517275143,2150,0.300741362428312
"FunctionalAssessment","numeric",5000,69.9398517275143,2150,0.300741362428312
"MemoryComplaints","factor",5000,69.9398517275143,3,0.000419639110365086
"BehavioralProblems","factor",5000,69.9398517275143,3,0.000419639110365086
"ADL","numeric",5000,69.9398517275143,2150,0.300741362428312
"Confusion","factor",5000,69.9398517275143,3,0.000419639110365086
"Disorientation","factor",5000,69.9398517275143,3,0.000419639110365086
"PersonalityChanges","factor",5000,69.9398517275143,3,0.000419639110365086
"DifficultyCompletingTasks","factor",5000,69.9398517275143,3,0.000419639110365086
"Forgetfulness","factor",5000,69.9398517275143,3,0.000419639110365086
"Alzheimer.s.Diagnosis","factor",0,0,2,0.000279759406910057
"Physical.Activity.CAT","factor",2149,30.0601482724857,4,0.000559518813820115
"Smoking.Status","factor",2149,30.0601482724857,4,0.000559518813820115
"Alcohol.Consumption.CAT","factor",2149,30.0601482724857,4,0.000559518813820115
"Cholesterol.Level","factor",2149,30.0601482724857,3,0.000419639110365086
"Cognitive.Test.Score","integer",2149,30.0601482724857,71,0.00993145894530704
"Depression.Level","factor",2149,30.0601482724857,4,0.000559518813820115
"Sleep.Quality.CAT","factor",2149,30.0601482724857,4,0.000559518813820115
"Diet.Quality.CAT","factor",2149,30.0601482724857,4,0.000559518813820115
"Air.Pollution.Exposure","factor",2149,30.0601482724857,4,0.000559518813820115
"Employment.Status","factor",2149,30.0601482724857,4,0.000559518813820115
"Marital.Status","factor",2149,30.0601482724857,4,0.000559518813820115
"Genetic.Risk.Factor..APOE.ε4.allele.","factor",2149,30.0601482724857,3,0.000419639110365086
"Social.Engagement.Level","factor",2149,30.0601482724857,4,0.000559518813820115
"Income.Level","factor",2149,30.0601482724857,4,0.000559518813820115
"Stress.Levels","factor",2149,30.0601482724857,4,0.000559518813820115
"Urban.vs.Rural.Living","factor",2149,30.0601482724857,3,0.000419639110365086
