"variable","min","Q1","median","mean","Q3","max","n_categories","categories"
"Age",50,64,74,73.5793817317107,84,94,NA,NA
"BMI",15.0088511816311,22.5,27.1,27.0857871947626,31.6,39.9927674640237,NA,NA
"Alcohol.Consumption.NUM",0.00200309913627184,5.13980958876738,9.93441237624174,10.0394417089014,15.1579306136038,19.989293359062,NA,NA
"Physical.Activity.NUM",0.00361601682601909,2.5706264756999,4.76642428211863,4.92020214406818,7.42789882807535,9.98742941342225,NA,NA
"Diet.Quality.NUM",0.00938472011623004,2.45845489167058,5.07608731664256,4.9931379136665,7.55862470388817,9.99834567881401,NA,NA
"Sleep.Quality.NUM",4.00262865982661,5.48299720932454,7.11564623139843,7.0510810719232,8.56252093751107,9.99984031668144,NA,NA
"SystolicBP",90,112,134,134.264774313634,157,179,NA,NA
"DiastolicBP",60,74,91,89.8478362028851,105,119,NA,NA
"CholesterolTotal",150.093315594063,190.252963145052,225.086429802032,225.197518877964,262.03165662653,299.993352474327,NA,NA
"CholesterolLDL",50.2307065598074,87.1957980174934,123.34259304551,124.33594410536,161.733732633953,199.965665101428,NA,NA
"CholesterolHDL",20.0034340149844,39.0956984958928,59.7682374976715,59.4635331411686,78.9390496343461,99.9803240780415,NA,NA
"CholesterolTriglycerides",50.4071936197858,137.583222434867,230.301982507531,228.281496178353,314.839046182922,399.941861594133,NA,NA
"MMSE",0.00531214644170053,7.16760225730902,14.4416599081445,14.7551319782826,22.1610279129748,29.9913805605291,NA,NA
"FunctionalAssessment",0.000459593595804053,2.56628091502604,5.09443872923527,5.080054971172,7.54698130752693,9.99646707255502,NA,NA
"ADL",0.00128792770248687,2.34283627147205,5.03897273589813,4.98295839876678,7.58149007195535,9.99974712180168,NA,NA
"Cognitive.Test.Score",30,47,64,64.2926,82,99,NA,NA
"Gender",NA,NA,NA,NA,NA,NA,2,"Male, Female"
"Ethnicity",NA,NA,NA,NA,NA,NA,4,"Caucasian, African American, Asian, Other"
"EducationLevel",NA,NA,NA,NA,NA,NA,4,"None, High School, Bachelor's, Higher"
"FamilyHistoryAlzheimers",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"CardiovascularDisease",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"Diabetes",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"HeadInjury",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"Hypertension",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"MemoryComplaints",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"BehavioralProblems",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"Confusion",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"Disorientation",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"PersonalityChanges",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"DifficultyCompletingTasks",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"Forgetfulness",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"Alzheimer.s.Diagnosis",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"Physical.Activity.CAT",NA,NA,NA,NA,NA,NA,3,"High, Low, Medium"
"Smoking.Status",NA,NA,NA,NA,NA,NA,3,"Current, Former, Never"
"Alcohol.Consumption.CAT",NA,NA,NA,NA,NA,NA,3,"Never, Occasionally, Regularly"
"Cholesterol.Level",NA,NA,NA,NA,NA,NA,2,"High, Normal"
"Depression.Level",NA,NA,NA,NA,NA,NA,3,"High, Low, Medium"
"Sleep.Quality.CAT",NA,NA,NA,NA,NA,NA,3,"Average, Good, Poor"
"Diet.Quality.CAT",NA,NA,NA,NA,NA,NA,3,"Average, Healthy, Unhealthy"
"Air.Pollution.Exposure",NA,NA,NA,NA,NA,NA,3,"High, Low, Medium"
"Employment.Status",NA,NA,NA,NA,NA,NA,3,"Employed, Retired, Unemployed"
"Marital.Status",NA,NA,NA,NA,NA,NA,3,"Married, Single, Widowed"
"Genetic.Risk.Factor..APOE.ε4.allele.",NA,NA,NA,NA,NA,NA,2,"No, Yes"
"Social.Engagement.Level",NA,NA,NA,NA,NA,NA,3,"High, Low, Medium"
"Income.Level",NA,NA,NA,NA,NA,NA,3,"High, Low, Medium"
"Stress.Levels",NA,NA,NA,NA,NA,NA,3,"High, Low, Medium"
"Urban.vs.Rural.Living",NA,NA,NA,NA,NA,NA,2,"Rural, Urban"
