"variables","types","missing_count","missing_percent","unique_count","unique_rate"
"Age","integer",0,0,31,0.0144253140995812
"Gender","factor",0,0,2,0.000930665425779432
"Ethnicity","factor",0,0,4,0.00186133085155886
"EducationLevel","factor",0,0,4,0.00186133085155886
"BMI","numeric",0,0,2149,1
"Smoking","factor",0,0,2,0.000930665425779432
"AlcoholConsumption","numeric",0,0,2149,1
"PhysicalActivity","numeric",0,0,2149,1
"DietQuality","numeric",0,0,2149,1
"SleepQuality","numeric",0,0,2149,1
"FamilyHistoryAlzheimers","factor",0,0,2,0.000930665425779432
"CardiovascularDisease","factor",0,0,2,0.000930665425779432
"Diabetes","factor",0,0,2,0.000930665425779432
"Depression","factor",0,0,2,0.000930665425779432
"HeadInjury","factor",0,0,2,0.000930665425779432
"Hypertension","factor",0,0,2,0.000930665425779432
"SystolicBP","integer",0,0,90,0.0418799441600745
"DiastolicBP","integer",0,0,60,0.027919962773383
"CholesterolTotal","numeric",0,0,2149,1
"CholesterolLDL","numeric",0,0,2149,1
"CholesterolHDL","numeric",0,0,2149,1
"CholesterolTriglycerides","numeric",0,0,2149,1
"MMSE","numeric",0,0,2149,1
"FunctionalAssessment","numeric",0,0,2149,1
"MemoryComplaints","factor",0,0,2,0.000930665425779432
"BehavioralProblems","factor",0,0,2,0.000930665425779432
"ADL","numeric",0,0,2149,1
"Confusion","factor",0,0,2,0.000930665425779432
"Disorientation","factor",0,0,2,0.000930665425779432
"PersonalityChanges","factor",0,0,2,0.000930665425779432
"DifficultyCompletingTasks","factor",0,0,2,0.000930665425779432
"Forgetfulness","factor",0,0,2,0.000930665425779432
"Alzheimer.s.Diagnosis","factor",0,0,2,0.000930665425779432
