"variable","statistic","df","p_value","significant"
"Gender",0.081,1,0.776,"no"
"Ethnicity",25.468,3,0,"yes"
"EducationLevel",12.237,3,0.0066,"yes"
"FamilyHistoryAlzheimers",55.898,1,0,"yes"
"CardiovascularDisease",7.653,1,0.0057,"yes"
"Diabetes",0.851,1,0.3562,"no"
"HeadInjury",4.091,1,0.0431,"yes"
"Hypertension",2.436,1,0.1186,"no"
"MemoryComplaints",758.082,1,0,"yes"
"BehavioralProblems",541.942,1,0,"yes"
"Confusion",1.809,1,0.1787,"no"
"Disorientation",0.097,1,0.756,"no"
"PersonalityChanges",0,1,0.9935,"no"
"DifficultyCompletingTasks",1.629,1,0.2019,"no"
"Forgetfulness",0,1,0.9958,"no"
"Physical.Activity.CAT",2.365,2,0.3065,"no"
"Smoking.Status",2.652,2,0.2655,"no"
"Alcohol.Consumption.CAT",11.008,2,0.0041,"yes"
"Cholesterol.Level",0.011,1,0.916,"no"
"Depression.Level",12.39,2,0.002,"yes"
"Sleep.Quality.CAT",0.674,2,0.7141,"no"
"Diet.Quality.CAT",0.712,2,0.7006,"no"
"Air.Pollution.Exposure",0.587,2,0.7455,"no"
"Employment.Status",1.77,2,0.4127,"no"
"Marital.Status",0.801,2,0.6699,"no"
"Genetic.Risk.Factor..APOE.ε4.allele.",306.137,1,0,"yes"
"Social.Engagement.Level",1.296,2,0.5232,"no"
"Income.Level",2.086,2,0.3524,"no"
"Stress.Levels",1.317,2,0.5177,"no"
"Urban.vs.Rural.Living",1.939,1,0.1638,"no"
