variable,min,Q1,median,mean,Q3,max,n_categories,categories,NA_count
ADL,0.0012879277024868,2.1708557820899,4.7192528408686,4.836104747793012,7.46363273057861,9.99974712180168,,,0
Age,50.0,65.0,75.0,73.87837423312884,84.0,94.0,,,0
Air.Pollution.Exposure,0.0,0.0,1.0,0.9937116564417178,2.0,2.0,,,0
Alcohol.Consumption.CAT,0.0,0.0,1.0,0.9895705521472392,2.0,2.0,,,0
Alcohol.Consumption.NUM,0.0020030991362718,5.29991293505613,10.0668416658531,10.12779943770186,15.214658407912324,19.989293359062,,,0
Alzheimer.s.Diagnosis,,,,,,,2.0,"No, Yes",0
BMI,15.0088511816311,22.5,27.2,27.094231377125617,31.58567496784505,39.9927674640237,,,0
BehavioralProblems,0.0,0.0,0.0,0.2076687116564417,0.0,1.0,,,0
CardiovascularDisease,0.0,0.0,0.0,0.16180981595092025,0.0,1.0,,,0
Cholesterol.Level,0.0,0.0,0.0,0.31058282208588955,1.0,1.0,,,0
CholesterolHDL,20.0034340149844,38.5081058631053,60.3124774371623,59.71197347771105,79.2564658490137,99.9803240780415,,,0
CholesterolLDL,50.2307065598074,86.64575860388523,122.810110374547,123.77686175537012,160.475554320577,199.965665101428,,,0
CholesterolTotal,150.093315594063,190.572767195118,225.167719989373,225.59447693839002,262.522175579896,299.993352474327,,,0
CholesterolTriglycerides,50.4071936197858,137.172233900625,225.820295816652,225.683805451108,311.267375245958,399.941861594133,,,0
Cognitive.Test.Score,30.0,47.0,64.0,64.17147239263804,82.0,99.0,,,0
Confusion,0.0,0.0,0.0,0.20736196319018405,0.0,1.0,,,0
Depression.Level,0.0,0.0,1.0,1.0075153374233128,2.0,2.0,,,0
Diabetes,0.0,0.0,0.0,0.18757668711656442,0.0,1.0,,,0
DiastolicBP,60.0,75.0,91.0,90.11641104294479,106.0,119.0,,,0
Diet.Quality.CAT,0.0,0.0,1.0,0.9934049079754601,2.0,2.0,,,0
Diet.Quality.NUM,0.00938472011623,2.42123148606687,5.05310433025771,4.958841543990514,7.489579688567945,9.99834567881401,,,0
DifficultyCompletingTasks,0.0,0.0,0.0,0.17622699386503068,0.0,1.0,,,0
Disorientation,0.0,0.0,0.0,0.16901840490797546,0.0,1.0,,,0
EducationLevel,0.0,1.0,1.0,1.2894171779141104,2.0,3.0,,,0
Employment.Status_Employed,,,,,,,2.0,"0, 1",0
Employment.Status_Retired,,,,,,,2.0,"0, 1",0
Employment.Status_Unemployed,,,,,,,2.0,"0, 1",0
Ethnicity_African American,,,,,,,2.0,"0, 1",0
Ethnicity_Asian,,,,,,,2.0,"0, 1",0
Ethnicity_Caucasian,,,,,,,2.0,"0, 1",0
Ethnicity_Other,,,,,,,2.0,"0, 1",0
FamilyHistoryAlzheimers,0.0,0.0,0.0,0.2969325153374233,1.0,1.0,,,0
Forgetfulness,0.0,0.0,0.0,0.3090490797546012,1.0,1.0,,,0
FunctionalAssessment,0.000459593595804,2.2688414110352952,4.768275091034795,4.874682474312968,7.407902116070577,9.99646707255502,,,0
Gender,0.0,0.0,1.0,0.5019938650306749,1.0,1.0,,,0
Genetic.Risk.Factor..APOE.ε4.allele.,0.0,0.0,0.0,0.20613496932515338,0.0,1.0,,,0
HeadInjury,0.0,0.0,0.0,0.10352760736196319,0.0,1.0,,,0
Hypertension,0.0,0.0,0.0,0.24969325153374233,0.0,1.0,,,0
Income.Level,0.0,0.0,1.0,0.9894171779141104,2.0,2.0,,,0
MMSE,0.0053121464417005,7.0110660258859,14.26400467303125,14.499491452489393,21.747525706877376,29.9742621246018,,,0
Marital.Status_Married,,,,,,,2.0,"0, 1",0
Marital.Status_Single,,,,,,,2.0,"0, 1",0
Marital.Status_Widowed,,,,,,,2.0,"0, 1",0
MemoryComplaints,0.0,0.0,0.0,0.25444785276073617,1.0,1.0,,,0
PersonalityChanges,0.0,0.0,0.0,0.15475460122699386,0.0,1.0,,,0
Physical.Activity.CAT,0.0,0.0,1.0,0.979601226993865,2.0,2.0,,,0
Physical.Activity.NUM,0.003616016826019,2.57686192045276,4.8480284030852,4.925771234498455,7.415266799776123,9.98742941342225,,,0
Sleep.Quality.CAT,0.0,0.0,1.0,1.0078220858895706,2.0,2.0,,,0
Sleep.Quality.NUM,4.00262865982661,5.47994327366702,7.09299084804739,7.0482537167801835,8.57109570441223,9.99984031668144,,,0
Smoking.Status,0.0,0.0,1.0,0.9923312883435583,2.0,2.0,,,0
Social.Engagement.Level,0.0,0.0,1.0,0.9964723926380368,2.0,2.0,,,0
Stress.Levels,0.0,0.0,1.0,1.0254601226993865,2.0,2.0,,,0
SystolicBP,90.0,111.75,135.0,134.52607361963192,157.0,179.0,,,0
Urban.vs.Rural.Living_Rural,,,,,,,2.0,"0, 1",0
Urban.vs.Rural.Living_Urban,,,,,,,2.0,"0, 1",0
