feature,importance
FunctionalAssessment,0.0971402617772492
ADL,0.08172858397652522
Age,0.0790876485546662
MMSE,0.07640106576165691
MemoryComplaints,0.07593849332089639
BehavioralProblems,0.05414216245351062
BMI,0.030899720927571952
CholesterolHDL,0.030078457266142687
Diet.Quality.NUM,0.029410836755219997
CholesterolTotal,0.029162260570271523
CholesterolTriglycerides,0.029114340177416233
CholesterolLDL,0.02888693810190059
Alcohol.Consumption.NUM,0.028396872992915878
Physical.Activity.NUM,0.02821199014535488
Sleep.Quality.NUM,0.028183995170592554
SystolicBP,0.025672800503737405
Cognitive.Test.Score,0.0252348026426856
DiastolicBP,0.024630307817955017
Genetic.Risk.Factor..APOE.ε4.allele.,0.02305278460119312
EducationLevel,0.009556215946032877
Alcohol.Consumption.CAT,0.007802040392952376
Social.Engagement.Level,0.00773111069149546
Depression.Level,0.007720209694798432
Diet.Quality.CAT,0.007474783094013393
Income.Level,0.007442684856468468
Smoking.Status,0.007371429900149806
Stress.Levels,0.007316807127724236
Sleep.Quality.CAT,0.007290893488371174
Air.Pollution.Exposure,0.007244662208424716
Physical.Activity.CAT,0.007168336494102556
FamilyHistoryAlzheimers,0.005740216704883404
Gender,0.004409925115703099
Marital.Status_Single,0.0041233264134419865
Hypertension,0.004064945311632452
Employment.Status_Unemployed,0.004026797253390127
Ethnicity_Caucasian,0.004000193406415265
Cholesterol.Level,0.003989657356079524
Employment.Status_Employed,0.003952468394704475
Employment.Status_Retired,0.003911439010551283
Urban.vs.Rural.Living_Rural,0.003901682999365509
Marital.Status_Married,0.003891481682357323
Forgetfulness,0.0038377198122232802
Marital.Status_Widowed,0.0038163089600550294
Diabetes,0.003814486926048776
Urban.vs.Rural.Living_Urban,0.003763791193189852
PersonalityChanges,0.0036670156037254226
CardiovascularDisease,0.003563176235604607
Disorientation,0.003530774359030061
DifficultyCompletingTasks,0.003471525980342579
Confusion,0.003443366633692411
Ethnicity_African American,0.003407469490900813
Ethnicity_Asian,0.0028962427696233107
HeadInjury,0.0027076162786971764
Ethnicity_Other,0.0025748746963468578
