metric,value
Accuracy,0.74079754601227
Cohen's Kappa,0.48159509202454
True Positive (TP) - class 0,469.0
True Negative (TN) - class 0,497.0
False Positive (FP) - class 0,155.0
False Negative (FN) - class 0,183.0
True Positive Rate (TPR) / Sensitivity - class 0,0.7193251533742331
True Negative Rate (TNR) / Specificity - class 0,0.7622699386503068
Precision - class 0,0.7516025641025641
F1 Score - class 0,0.7351097178683386
True Positive (TP) - class 1,497.0
True Negative (TN) - class 1,469.0
False Positive (FP) - class 1,183.0
False Negative (FN) - class 1,155.0
True Positive Rate (TPR) / Sensitivity - class 1,0.7622699386503068
True Negative Rate (TNR) / Specificity - class 1,0.7193251533742331
Precision - class 1,0.7308823529411764
F1 Score - class 1,0.7462462462462462
AUC - class 0,0.8184891226617487
AUC - class 1,0.8184891226617487
