metric,value
Accuracy,0.7837423312883436
Cohen's Kappa,0.5674846625766872
True Positive (TP) - class 0,487.0
True Negative (TN) - class 0,535.0
False Positive (FP) - class 0,117.0
False Negative (FN) - class 0,165.0
True Positive Rate (TPR) / Sensitivity - class 0,0.7469325153374233
True Negative Rate (TNR) / Specificity - class 0,0.8205521472392638
Precision - class 0,0.8062913907284768
F1 Score - class 0,0.7754777070063694
True Positive (TP) - class 1,535.0
True Negative (TN) - class 1,487.0
False Positive (FP) - class 1,165.0
False Negative (FN) - class 1,117.0
True Positive Rate (TPR) / Sensitivity - class 1,0.8205521472392638
True Negative Rate (TNR) / Specificity - class 1,0.7469325153374233
Precision - class 1,0.7642857142857142
F1 Score - class 1,0.7914201183431953
AUC - class 0,0.8689026685234671
AUC - class 1,0.8689026685234672
